Country,Location,Job Title,Experience,Education,Company Size,Employment Type,Skills,Salary,Currency
India,Mumbai,Full Stack Developer,4,Bachelor,Startup,Full-time,"React,Git,REST API,MongoDB,TypeScript,Node.js,Docker,Python",1579000.0,INR
India,Hyderabad,AI Engineer,2,Associate,Startup,Full-time,"Deep Learning,Python,PyTorch,AWS,Machine Learning",1482000.0,INR
India,Pune,Prompt Engineer,9,Bachelor,Large,Part-time,"Python,Transformers,NLP,Research",1329000.0,INR
India,Pune,NLP Engineer,1,Master,Large,Contract,"Python,Deep Learning,NLP",1535000.0,INR
India,Noida,Business Analyst,5,Bachelor,Medium,Full-time,"Jira,Process Mapping,Data Visualization,Excel",1476000.0,INR
India,Chennai,DevOps Engineer,4,Bachelor,Large,Part-time,"Python,Docker,Git,Ansible,Linux,Terraform,AWS",972000.0,INR
India,Gurgaon,Prompt Engineer,1,Bachelor,Startup,Full-time,"API Integration,Python,ChatGPT,Prompt Design,NLP",999000.0,INR
India,Mumbai,Mobile Developer,0,Bachelor,Small,Full-time,"REST API,Swift,Git,Kotlin",774000.0,INR
India,Gurgaon,Full Stack Developer,4,Master,Startup,Contract,"React,REST API,Git,SQL",1804000.0,INR
India,Bangalore,Scrum Master,6,Master,Small,Full-time,"Scrum,Agile,Communication,Leadership,Stakeholder Management",2134000.0,INR
India,Kolkata,Database Administrator,1,Bachelor,Medium,Full-time,"Security,SQL,Linux,MongoDB,Performance Tuning",785000.0,INR
India,Chennai,IT Manager,4,Master,Enterprise,Full-time,"Agile,SQL,Project Management,Risk Management,ITIL,Leadership,Communication",1809000.0,INR
India,Bangalore,Business Analyst,2,Bachelor,Large,Contract,"Requirements Gathering,Agile,SQL,Data Visualization,Excel,Power BI,Tableau,Jira",1380000.0,INR
India,Delhi,Business Analyst,5,Master,Large,Full-time,"Data Visualization,Tableau,Excel",1548000.0,INR
India,Hyderabad,Network Engineer,0,Bachelor,Startup,Full-time,"Python,Cisco,VPN,Switching,TCP/IP",607000.0,INR
India,Gurgaon,Mobile Developer,9,Bachelor,Startup,Contract,"Firebase,Swift,React Native,iOS,Android",2276000.0,INR
India,Coimbatore,Software Engineer,1,Bachelor,Small,Contract,"System Design,Agile,Docker,REST API,Python",867000.0,INR
India,Delhi,DevOps Engineer,2,Master,Large,Contract,"Docker,AWS,Linux,CI/CD,Jenkins,Git",1677000.0,INR
India,Mumbai,Network Engineer,0,PhD,Medium,Full-time,"Firewall,Security,Networking,Cisco,Linux",1038000.0,INR
India,Hyderabad,Machine Learning Engineer,0,Associate,Startup,Full-time,"Python,Deep Learning,Machine Learning,PyTorch,TensorFlow",1073000.0,INR
India,Pune,QA Engineer,3,Associate,Large,Full-time,"Jira,JUnit,Java",1058000.0,INR
India,Gurgaon,Mobile Developer,1,PhD,Enterprise,Contract,"Git,iOS,Swift",1625000.0,INR
India,Chennai,Data Analyst,8,Bachelor,Small,Contract,"Python,Statistics,Power BI,Tableau,Pandas,Excel",1807000.0,INR
India,Chennai,Network Engineer,0,Bachelor,Startup,Internship,"VPN,Networking,Python,Linux,Security,Routing,TCP/IP",250000.0,INR
India,Delhi,Product Manager,2,Bachelor,Startup,Full-time,"Stakeholder Management,UX Research,SQL,Product Strategy,A/B Testing",1387000.0,INR
India,Delhi,MLOps Engineer,1,Associate,Medium,Full-time,"Airflow,CI/CD,Docker,Machine Learning,Python,MLflow,Kubernetes",1219000.0,INR
India,Kolkata,Frontend Developer,0,Master,Startup,Full-time,"Webpack,React,Node.js,Git,JavaScript,HTML",687000.0,INR
India,Pune,Data Analyst,0,Master,Large,Full-time,"SQL,Statistics,Power BI,R",762000.0,INR
India,Noida,Solutions Architect,2,Bachelor,Large,Full-time,"Networking,Security,Python,Azure",1715000.0,INR
India,Gurgaon,Mobile Developer,3,Bachelor,Large,Internship,"Firebase,Git,Android,Java,Swift,Flutter,iOS,REST API",478000.0,INR
India,Bangalore,Data Scientist,2,Master,Enterprise,Full-time,"Statistics,SQL,NumPy,Data Visualization,Deep Learning",1752000.0,INR
India,Mumbai,Product Manager,3,Associate,Enterprise,Full-time,"Data Analysis,Roadmapping,A/B Testing,UX Research,Communication,SQL,Stakeholder Management,Agile",1875000.0,INR
India,Gurgaon,Scrum Master,4,Master,Startup,Full-time,"Stakeholder Management,Communication,Jira,Coaching,Agile,Leadership,Facilitation,Kanban",1776000.0,INR
India,Gurgaon,QA Engineer,0,Bachelor,Enterprise,Full-time,"Java,Test Automation,Jira,Manual Testing,Agile,Git",863000.0,INR
India,Pune,Prompt Engineer,2,Bachelor,Enterprise,Contract,"Python,ChatGPT,Communication,NLP,Transformers,API Integration",1503000.0,INR
India,Gurgaon,Product Manager,14,PhD,Medium,Full-time,"SQL,Stakeholder Management,Roadmapping,Agile,Communication",3413000.0,INR
India,Kolkata,Systems Analyst,3,Master,Enterprise,Full-time,"Excel,Python,Agile,UML,Communication,Documentation",1246000.0,INR
