Country,Location,Job Title,Experience,Education,Company Size,Employment Type,Skills,Salary,Currency
United States,Los Angeles,AI Engineer,5,Master,Small,Contract,"TensorFlow,Deep Learning,Computer Vision,Docker,Machine Learning,AWS",241000.0,USD
United States,New York,Data Scientist,0,Bachelor,Large,Full-time,"Data Visualization,TensorFlow,Statistics,Deep Learning",150700.0,USD
United States,Boston,Frontend Developer,7,Bachelor,Startup,Full-time,"React,CSS,Webpack,Redux,REST API",168600.0,USD
United States,San Francisco,Systems Analyst,3,Bachelor,Medium,Full-time,"Python,Documentation,Requirements Gathering,Excel,System Design,Process Mapping,Communication",167900.0,USD
United States,New York,QA Engineer,3,PhD,Enterprise,Contract,"Test Automation,Agile,Selenium,REST API,Python,Git",223300.0,USD
United States,Atlanta,Mobile Developer,2,Bachelor,Medium,Internship,"Android,Swift,Kotlin,Java,React Native",58600.0,USD
United States,Remote,Research Scientist,10,High School,Small,Full-time,"Python,TensorFlow,Publication,Research,NumPy",212200.0,USD
United States,San Francisco,Systems Analyst,3,Bachelor,Enterprise,Contract,"Documentation,Excel,Communication,Process Mapping,Python",214400.0,USD
United States,Austin,Cloud Architect,1,Bachelor,Small,Part-time,"GCP,Linux,Networking,Kubernetes,Python,Security",92900.0,USD
United States,Atlanta,Data Scientist,7,Master,Enterprise,Full-time,"NumPy,SQL,Statistics,Pandas,TensorFlow",208300.0,USD
United States,Austin,Product Manager,13,Bachelor,Large,Full-time,"Data Analysis,Communication,Roadmapping,A/B Testing",257700.0,USD
United States,Remote,AI Engineer,1,Associate,Small,Part-time,"Machine Learning,Python,AWS,Docker,MLflow,TensorFlow",80700.0,USD
United States,San Francisco,Solutions Architect,4,Bachelor,Enterprise,Contract,"System Design,AWS,Microservices,Networking,Python,Docker",335200.0,USD
United States,Boston,Research Scientist,3,PhD,Medium,Contract,"PyTorch,Publication,NumPy,Scikit-learn",255800.0,USD
United States,Los Angeles,Scrum Master,4,Master,Large,Contract,"Scrum,Leadership,Jira,Kanban,Coaching,Stakeholder Management,Communication",205200.0,USD
United States,San Francisco,Software Engineer,3,High School,Small,Full-time,"Agile,System Design,Java,Git,SQL,Docker,Python",164200.0,USD
United States,Denver,IT Manager,0,Master,Startup,Part-time,"Budgeting,Risk Management,Vendor Management,ITIL,Leadership",63500.0,USD
United States,San Francisco,DevOps Engineer,2,Bachelor,Large,Part-time,"Docker,Git,Linux",113200.0,USD
United States,Los Angeles,Database Administrator,19,Bachelor,Enterprise,Full-time,"PostgreSQL,SQL,Linux,Oracle,Security,Python,MongoDB",317300.0,USD
United States,Atlanta,Database Administrator,0,Bachelor,Startup,Full-time,"PostgreSQL,MongoDB,Performance Tuning,Oracle,Python,Linux,MySQL",85600.0,USD
United States,Seattle,Scrum Master,4,High School,Startup,Full-time,"Facilitation,Jira,Coaching,Communication,Agile,Leadership",134400.0,USD
United States,Boston,Backend Developer,10,Bachelor,Startup,Full-time,"Docker,Git,Python,Java,Kubernetes,SQL,REST API,Redis",223400.0,USD
United States,San Francisco,Business Analyst,1,Bachelor,Enterprise,Full-time,"Power BI,Data Visualization,Tableau,Process Mapping,SQL,Agile,Excel,Requirements Gathering",148600.0,USD
